SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,MAPsgp,pargH,pargM,pargL,EAParg,MAParg,pcrH,pcrM,pcrL,EAPcr,MAPcr,pdtH,pdtM,pdtL,EAPdt,MAPdt,pexaH,pexaM,pexaL,EAPexa,MAPexa,pexpH,pexpM,pexpL,EAPexp,MAPexp,pextH,pextM,pextL,EAPext,MAPext,pindH,pindM,pindL,EAPind,MAPind,pmodH,pmodM,pmodL,EAPmod,MAPmod,precH,precM,precL,EAPrec,MAPrec,ptabH,ptabM,ptabL,EAPtab,MAPtab,pverH,pverM,pverL,EAPver,MAPver,ppicH,ppicM,ppicL,EAPpic,MAPpic
S052,1,2,2,63,20,14,29,0.00000036169,0.747,0.252,0.001,0.253,3,0.037,0.157,0.806,1.769,1,0.99,0.009,0,0.01,3,0.286,0.329,0.385,1.099,1,0.855,0.136,0.009,0.153,3,0.009,0.061,0.93,1.922,1,0.99,0.01,0,0.01,3,0.243,0.434,0.323,1.08,2,0.122,0.459,0.419,1.297,2,0.288,0.396,0.316,1.028,2,0.737,0.236,0.026,0.289,3,0.247,0.414,0.339,1.093,2,0.017,0.22,0.764,1.747,1
S053,2,2,1,63,12,51,0,0.02482638889,0.000,0.001,0.999,1.999,1,0.000,0.014,0.986,1.985,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.005,1.00,1.995,1,0.01,0.58,0,1.40,2,0.032,0.241,0.727,1.69,1,0.065,0.274,0.661,1.596,1,0.009,0.231,0.760,1.751,1,0.021,0.229,0.750,1.729,1,0.166,0.499,0.336,1.170,2,0.005,0.15,0.849,1.844,1
S054,3,1,1,63,34,29,0,0.02466435185,0.690,0.307,0.003,0.313,3,0.001,0.046,0.952,1.951,1,0.89,0.096,0,0.12,3,0.280,0.327,0.392,1.112,1,0.885,0.111,0.004,0.119,3,0.000,0.029,0.97,1.970,1,1.00,0.01,0,0.01,3,0.222,0.488,0.290,1.07,2,0.419,0.448,0.133,0.714,2,0.003,0.113,0.884,1.881,1,0.945,0.054,0.001,0.056,3,0.284,0.449,0.268,0.984,2,0.028,0.28,0.691,1.663,1
S055,1,2,2,63,8,55,0,0.03074074074,0.000,0.000,1.000,2.000,1,0.000,0.006,0.994,1.994,1,0.07,0.600,0,1.26,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.003,1.00,1.997,1,0.00,0.32,1,1.68,1,0.009,0.118,0.873,1.86,1,0.000,0.016,0.984,1.983,1,0.008,0.229,0.763,1.755,1,0.001,0.061,0.938,1.937,1,0.043,0.350,0.607,1.563,1,0.000,0.03,0.970,1.970,1
S056,2,2,1,63,20,43,0,0.02325231481,0.000,0.026,0.974,1.974,1,0.000,0.005,0.995,1.995,1,0.22,0.643,0,0.91,2,0.100,0.229,0.670,1.570,1,0.000,0.011,0.989,1.989,1,0.000,0.009,0.99,1.991,1,0.56,0.43,0,0.44,3,0.001,0.041,0.958,1.96,1,0.001,0.039,0.960,1.959,1,0.039,0.422,0.539,1.501,1,0.059,0.345,0.596,1.537,1,0.004,0.116,0.881,1.877,1,0.000,0.01,0.989,1.989,1
S057,3,1,1,63,25,28,10,0.00000036169,0.258,0.622,0.119,0.861,2,0.009,0.086,0.905,1.896,1,0.68,0.263,0,0.38,3,0.228,0.306,0.466,1.239,1,0.015,0.193,0.792,1.778,1,0.000,0.013,0.99,1.987,1,0.98,0.02,0,0.02,3,0.127,0.334,0.539,1.41,1,0.268,0.436,0.296,1.028,2,0.178,0.562,0.260,1.082,2,0.280,0.488,0.232,0.952,2,0.162,0.346,0.491,1.329,1,0.382,0.34,0.283,0.901,3
S058,1,2,2,63,33,30,0,0.03111111111,0.005,0.562,0.433,1.428,2,0.027,0.118,0.855,1.828,1,0.85,0.149,0,0.16,3,0.167,0.274,0.560,1.393,1,0.000,0.039,0.961,1.960,1,0.006,0.087,0.91,1.901,1,0.96,0.04,0,0.04,3,0.059,0.218,0.723,1.66,1,0.154,0.394,0.452,1.297,1,0.828,0.167,0.004,0.176,3,0.007,0.153,0.840,1.834,1,0.068,0.280,0.652,1.583,1,0.182,0.49,0.326,1.144,2
S059,2,2,1,63,20,37,6,0.00000036169,0.000,0.053,0.947,1.947,1,0.181,0.251,0.569,1.388,1,0.04,0.406,1,1.52,1,0.104,0.232,0.665,1.561,1,0.000,0.022,0.978,1.977,1,0.116,0.278,0.61,1.490,1,0.05,0.73,0,1.18,2,0.287,0.332,0.382,1.10,1,0.141,0.346,0.513,1.372,1,0.739,0.235,0.026,0.286,3,0.003,0.087,0.910,1.907,1,0.478,0.378,0.144,0.666,3,0.000,0.03,0.967,1.967,1
S060,3,1,1,63,28,35,0,0.02981481481,0.049,0.903,0.048,0.999,2,0.001,0.019,0.981,1.980,1,0.96,0.037,0,0.04,3,0.218,0.306,0.476,1.259,1,0.001,0.065,0.934,1.933,1,0.000,0.004,1.00,1.996,1,0.98,0.03,0,0.03,3,0.006,0.135,0.859,1.85,1,0.001,0.067,0.932,1.931,1,0.143,0.578,0.279,1.136,2,0.561,0.386,0.052,0.491,3,0.004,0.096,0.900,1.895,1,0.000,0.03,0.968,1.967,1
S061,1,2,2,63,21,42,0,0.02189814815,0.001,0.096,0.903,1.903,1,0.002,0.020,0.978,1.977,1,0.06,0.409,1,1.48,1,0.109,0.235,0.656,1.547,1,0.000,0.015,0.985,1.985,1,0.000,0.019,0.98,1.980,1,0.32,0.65,0,0.71,2,0.011,0.107,0.882,1.87,1,0.013,0.140,0.847,1.834,1,0.145,0.577,0.278,1.134,2,0.003,0.105,0.892,1.888,1,0.028,0.267,0.705,1.678,1,0.034,0.31,0.654,1.620,1
