SubjID,Sess,Cond_code,Seq,FB,Form_Order,Level_Code,PreACorr,PostBCorr,PreBCorr,PostACorr,PreScore,PostScore,Gender,Race,Gain,preacorr_adj,postbcorr_adj,prebcorr_adj,postacorr_adj,Zpreacorr_adj,Zpostbcorr_adj,Zprebcorr_adj,Zpostacorr_adj,scale_prea,scale_preb,pre_scaled,scale_posta,scale_postb,post_scaled,gain_scaled,Flagged
S052,s01-17,1,2,2,1,2,6,18,NA,NA,6,18,1,8,12,6,17,NA,NA,-0.576801010374,1.990795991788,NA,NA,44,NA,44,NA,78,78,34,0
S053,s01-03,2,2,1,2,2,NA,NA,7,4,7,4,1,2,-3,NA,NA,6,4,NA,NA,-0.49229810933,-1.588389099892,NA,45,45,39,NA,39,-6,0
S054,s01-08,3,1,1,1,2,16,16,NA,NA,16,16,1,7,0,15,14,NA,NA,1.967574499204,1.245497994862,NA,NA,70,NA,70,NA,69,69,-1,0
S055,s01-01,1,2,2,2,2,NA,NA,7,9,7,9,2,7,2,NA,NA,7,9,NA,NA,-0.19216899882,-0.233873241702,NA,48,48,53,NA,53,5,0
S056,s01-12,2,2,1,1,2,5,9,NA,NA,5,9,2,8,4,5,8,NA,NA,-0.859509400327,-0.245097998989,NA,NA,41,NA,41,NA,51,51,10,0
S057,s01-09,3,1,1,2,2,NA,NA,7,15,7,15,2,7,8,NA,NA,7,14,NA,NA,-0.19216899882,1.120642616488,NA,48,48,67,NA,67,19,0
S058,s01-02,1,2,2,1,2,10,9,NA,NA,10,9,1,4,-1,10,9,NA,NA,0.554032549438,0.003334666653,NA,NA,56,NA,56,NA,54,54,-2,0
S059,s01-13,2,2,1,2,2,NA,NA,7,10,7,10,1,6,3,NA,NA,6,9,NA,NA,-0.49229810933,-0.233873241702,NA,45,45,53,NA,53,8,0
S060,s01-10,3,1,1,1,2,8,8,NA,NA,8,8,1,7,0,8,8,NA,NA,-0.011384230468,-0.245097998989,NA,NA,50,NA,50,NA,51,51,1,0
S061,s01-04,1,2,2,2,2,NA,NA,11,8,11,8,1,3,-3,NA,NA,11,8,NA,NA,1.00834744323,-0.504776413340,NA,60,60,50,NA,50,-10,0
S062,s01-07,2,2,1,1,2,8,10,NA,NA,8,10,2,3,2,7,9,NA,NA,-0.294092620421,0.003334666653,NA,NA,47,NA,47,NA,54,54,7,0
S063,s01-05,1,2,2,1,2,8,10,NA,NA,8,10,2,7,2,8,9,NA,NA,-0.011384230468,0.003334666653,NA,NA,50,NA,50,NA,54,54,4,0
S064,s01-14,2,2,1,2,2,NA,NA,14,16,14,16,1,3,2,NA,NA,14,16,NA,NA,1.90873477477,1.662448959764,NA,69,69,73,NA,73,4,0
S065,s01-15,3,1,1,1,2,7,13,NA,NA,7,13,1,2,6,7,13,NA,NA,-0.294092620421,0.997065329220,NA,NA,47,NA,47,NA,66,66,19,0
S066,s01-06,1,2,2,2,2,NA,NA,4,9,4,9,2,6,5,NA,NA,4,9,NA,NA,-1.09255633036,-0.233873241702,NA,39,39,53,NA,53,14,0
S067,s01-11,2,2,1,1,2,9,7,NA,NA,9,7,2,3,-2,8,7,NA,NA,-0.011384230468,-0.493530664631,NA,NA,50,NA,50,NA,48,48,-2,0
S068,s01-16,3,1,1,2,2,NA,NA,9,8,9,8,1,6,-1,NA,NA,9,8,NA,NA,0.40808922221,-0.504776413340,NA,54,54,50,NA,50,-4,0
S074,s02-03,1,2,2,1,2,12,12,NA,NA,12,12,2,6,0,12,11,NA,NA,1.119449329345,0.500199997937,NA,NA,61,NA,61,NA,60,60,-1,0
S075,s02-02,2,2,1,2,2,NA,NA,7,13,7,13,1,2,6,NA,NA,6,12,NA,NA,-0.49229810933,0.578836273212,NA,45,45,61,NA,61,16,0
S076,s02-14,3,1,1,1,2,9,8,NA,NA,9,8,1,7,-1,9,8,NA,NA,0.271324159485,-0.245097998989,NA,NA,53,NA,53,NA,51,51,-2,0
S077,s02-16,1,2,2,1,2,16,17,NA,NA,16,17,2,2,1,15,16,NA,NA,1.967574499204,1.742363326146,NA,NA,70,NA,70,NA,75,75,5,0
S078,s02-10,2,2,1,1,2,10,9,NA,NA,10,9,2,6,-1,9,9,NA,NA,0.271324159485,0.003334666653,NA,NA,53,NA,53,NA,54,54,1,0
S079,s02-19,3,1,1,2,2,NA,NA,15,11,15,11,2,7,-4,NA,NA,15,10,NA,NA,2.20886388529,0.037029929936,NA,72,72,56,NA,56,-16,0
S080,s02-09,1,2,2,2,2,NA,NA,6,7,6,7,2,7,1,NA,NA,6,7,NA,NA,-0.49229810933,-0.775679584978,NA,45,45,47,NA,47,2,0
S081,s02-15,2,2,1,1,2,12,10,NA,NA,12,10,1,7,-2,12,9,NA,NA,1.119449329345,0.003334666653,NA,NA,61,NA,61,NA,54,54,-7,0
S082,s02-05,3,1,1,2,2,NA,NA,10,4,10,4,2,7,-6,NA,NA,10,4,NA,NA,0.70821833272,-1.588389099892,NA,57,57,39,NA,39,-18,1
S083,s02-06,1,2,2,2,2,NA,NA,12,6,12,6,2,7,-6,NA,NA,12,5,NA,NA,1.30847655375,-1.317485928254,NA,63,63,41,NA,41,-22,1
