"Skill1","Skill2","Skill3","Comp.Correct","Comp.Grade","Conj.Correct","Conj.Grade","Cor.Correct","Cor.Grade","Dis.Correct","Dis.Grade","Inhib.Correct","Inhib.Grade"
Medium,Low,Low,Correct,E,Correct,C,Correct,A,Correct,A,Incorrect,B
Medium,Medium,Better,Correct,A,Incorrect,A,Correct,A,Correct,A,Incorrect,C
Low,LowerYet,Low,Correct,D,Incorrect,E,Incorrect,E,Incorrect,D,Incorrect,E
Low,LowerYet,Low,Correct,E,Incorrect,B,Incorrect,A,Incorrect,E,Incorrect,E
Low,LowerYet,Low,Correct,E,Incorrect,E,Incorrect,B,Correct,D,Incorrect,E
Low,LowerYet,Low,Correct,A,Incorrect,A,Incorrect,E,Correct,E,Incorrect,D
High,High,High,Correct,A,Incorrect,B,Correct,A,Correct,A,Incorrect,A
Medium,Medium,Low,Incorrect,D,Incorrect,A,Correct,A,Correct,E,Incorrect,E
Low,LowerYet,Low,Correct,E,Incorrect,C,Incorrect,D,Correct,A,Incorrect,E
Low,LowerYet,Low,Correct,E,Incorrect,E,Incorrect,E,Correct,D,Incorrect,C
Medium,Medium,Medium,Correct,B,Correct,A,Correct,A,Correct,C,Incorrect,E
Medium,Medium,Better,Correct,E,Correct,D,Correct,A,Correct,A,Incorrect,C
Low,LowerYet,Low,Incorrect,E,Incorrect,D,Correct,E,Correct,C,Incorrect,B
High,High,High,Correct,A,Correct,C,Correct,A,Correct,A,Incorrect,B
Low,LowerYet,Low,Incorrect,E,Incorrect,E,Incorrect,E,Correct,D,Incorrect,D
Low,LowerYet,Low,Incorrect,E,Incorrect,A,Incorrect,E,Incorrect,D,Incorrect,E
Medium,Low,Medium,Correct,E,Incorrect,A,Incorrect,E,Incorrect,E,Incorrect,E
Medium,Low,Low,Incorrect,E,Incorrect,B,Correct,A,Correct,E,Incorrect,E
Medium,High,High,Correct,D,Incorrect,B,Correct,A,Correct,A,Incorrect,B
High,High,High,Correct,A,Correct,A,Incorrect,A,Correct,A,Incorrect,A
High,High,Better,Correct,E,Incorrect,A,Incorrect,A,Correct,A,Incorrect,A
Medium,Medium,Medium,Correct,D,Incorrect,A,Incorrect,B,Correct,A,Incorrect,D
Low,LowerYet,Low,Incorrect,E,Incorrect,C,Incorrect,E,Correct,D,Incorrect,E
High,High,High,Correct,D,Correct,A,Correct,A,Correct,A,Incorrect,B
Low,LowerYet,Low,Incorrect,E,Incorrect,D,Incorrect,D,Incorrect,D,Incorrect,D
High,High,High,Correct,A,Correct,B,Correct,A,Correct,D,Incorrect,A
Low,LowerYet,Low,Incorrect,E,Incorrect,B,Correct,A,Incorrect,E,Incorrect,E
High,High,High,Correct,E,Incorrect,A,Incorrect,A,Correct,A,Correct,B
Low,LowerYet,Low,Correct,E,Incorrect,E,Correct,A,Incorrect,D,Incorrect,D
Medium,High,Medium,Correct,E,Correct,A,Incorrect,A,Correct,B,Incorrect,D
Medium,Low,Low,Correct,E,Incorrect,D,Correct,A,Correct,B,Incorrect,E
Medium,Low,Worse,Correct,E,Correct,A,Correct,A,Correct,D,Incorrect,E
Medium,Medium,Medium,Correct,A,Correct,A,Incorrect,A,Correct,B,Incorrect,E
High,High,High,Correct,A,Incorrect,A,Correct,A,Correct,A,Correct,B
Medium,Low,Low,Correct,E,Incorrect,E,Incorrect,A,Correct,A,Incorrect,E
High,High,High,Correct,A,Incorrect,A,Correct,A,Correct,B,Correct,A
High,High,High,Correct,A,Correct,A,Correct,A,Correct,B,Incorrect,A
Low,LowerYet,Low,Incorrect,E,Incorrect,C,Correct,A,Correct,E,Incorrect,A
Medium,Medium,Medium,Correct,A,Correct,D,Incorrect,A,Incorrect,B,Incorrect,D
Low,LowerYet,Low,Incorrect,E,Incorrect,E,Incorrect,E,Incorrect,E,Incorrect,C
Medium,Medium,Better,Correct,E,Incorrect,A,Correct,A,Correct,B,Incorrect,D
Medium,High,Medium,Correct,E,Incorrect,E,Correct,A,Correct,C,Incorrect,E
Low,LowerYet,Low,Correct,E,Incorrect,C,Incorrect,E,Correct,D,Incorrect,E
Low,LowerYet,Low,Correct,A,Incorrect,A,Incorrect,E,Incorrect,E,Incorrect,C
Low,LowerYet,Low,Correct,E,Incorrect,A,Incorrect,B,Correct,B,Incorrect,C
High,High,High,Correct,A,Correct,E,Correct,A,Correct,B,Correct,A
Medium,High,Better,Correct,E,Incorrect,A,Incorrect,A,Correct,B,Correct,E
Medium,Low,Worse,Correct,A,Incorrect,E,Incorrect,A,Incorrect,C,Incorrect,E
Medium,Low,Low,Incorrect,D,Incorrect,B,Correct,A,Correct,D,Incorrect,D
High,High,High,Correct,A,Correct,C,Incorrect,E,Correct,A,Incorrect,A
High,High,High,Correct,A,Incorrect,A,Correct,A,Correct,B,Correct,B
Medium,Medium,Worse,Correct,E,Correct,B,Incorrect,A,Incorrect,E,Correct,A
Low,LowerYet,Low,Incorrect,E,Incorrect,E,Correct,E,Correct,E,Incorrect,E
High,High,High,Correct,B,Incorrect,A,Correct,A,Correct,A,Incorrect,B
Medium,Medium,Better,Correct,E,Incorrect,C,Correct,A,Correct,C,Incorrect,D
Low,LowerYet,Low,Incorrect,E,Incorrect,E,Incorrect,E,Correct,E,Incorrect,E
Low,LowerYet,Low,Correct,E,Incorrect,D,Incorrect,C,Correct,C,Incorrect,D
High,High,High,Correct,D,Incorrect,B,Incorrect,A,Correct,A,Incorrect,C
High,High,High,Correct,A,Correct,E,Correct,A,Correct,A,Incorrect,A
High,High,High,Correct,A,Incorrect,C,Correct,A,Incorrect,A,Incorrect,B
Medium,Medium,Better,Correct,C,Correct,A,Incorrect,A,Correct,A,Incorrect,B
Low,LowerYet,Low,Correct,E,Incorrect,E,Incorrect,E,Correct,C,Incorrect,E
High,High,High,Correct,A,Incorrect,A,Correct,A,Correct,A,Incorrect,D
Medium,LowerYet,Low,Correct,E,Incorrect,D,Incorrect,A,Correct,E,Incorrect,D
Medium,High,High,Correct,E,Correct,C,Correct,A,Correct,B,Incorrect,A
Medium,Medium,Better,Correct,E,Incorrect,A,Incorrect,A,Correct,B,Incorrect,B
Medium,Low,Low,Incorrect,E,Incorrect,B,Correct,A,Correct,C,Incorrect,E
Medium,High,High,Correct,A,Correct,A,Incorrect,B,Correct,A,Incorrect,C
High,High,High,Correct,A,Correct,B,Correct,A,Correct,A,Incorrect,A
Medium,Medium,High,Incorrect,E,Correct,A,Correct,A,Correct,A,Correct,B
Medium,Medium,Medium,Correct,D,Incorrect,B,Incorrect,E,Correct,B,Incorrect,D
Medium,Medium,High,Correct,E,Correct,B,Incorrect,A,Correct,A,Incorrect,A
Medium,High,High,Correct,A,Incorrect,D,Correct,A,Correct,A,Correct,D
High,High,High,Correct,A,Correct,A,Correct,A,Correct,A,Incorrect,B
Low,LowerYet,Low,Correct,E,Correct,D,Incorrect,E,Correct,E,Incorrect,E
High,High,High,Correct,B,Correct,E,Correct,A,Correct,A,Correct,A
Medium,Medium,Worse,Correct,A,Correct,C,Correct,E,Correct,E,Incorrect,E
Low,Low,Worse,Correct,E,Incorrect,B,Incorrect,C,Correct,D,Incorrect,E
Low,LowerYet,Low,Incorrect,E,Incorrect,E,Incorrect,A,Incorrect,E,Incorrect,E
Medium,Medium,High,Correct,E,Correct,B,Correct,A,Incorrect,A,Incorrect,E
Low,Low,Low,Incorrect,E,Incorrect,E,Incorrect,E,Correct,E,Incorrect,D
Medium,Medium,Better,Incorrect,E,Incorrect,B,Incorrect,A,Incorrect,D,Incorrect,A
Medium,High,Better,Correct,E,Correct,A,Incorrect,A,Correct,B,Incorrect,B
Low,Low,Low,Incorrect,E,Incorrect,A,Correct,A,Correct,A,Incorrect,E
Medium,Low,Low,Correct,E,Incorrect,A,Correct,E,Incorrect,B,Incorrect,E
Medium,Medium,Worse,Incorrect,B,Incorrect,E,Correct,A,Correct,A,Incorrect,D
Medium,Low,Low,Correct,D,Incorrect,C,Correct,C,Incorrect,E,Incorrect,D
Low,LowerYet,Low,Incorrect,E,Incorrect,B,Incorrect,E,Correct,C,Incorrect,E
Medium,Medium,Better,Correct,E,Incorrect,A,Correct,A,Correct,A,Incorrect,A
Medium,LowerYet,Low,Correct,E,Incorrect,E,Incorrect,E,Incorrect,D,Incorrect,E
Medium,Low,Worse,Correct,D,Incorrect,D,Incorrect,B,Correct,C,Incorrect,C
Medium,High,High,Incorrect,E,Correct,A,Correct,A,Correct,C,Correct,B
Medium,Medium,Worse,Correct,E,Incorrect,C,Correct,A,Correct,D,Incorrect,D
Low,LowerYet,Low,Incorrect,E,Incorrect,D,Incorrect,E,Correct,C,Incorrect,E
Medium,Medium,Worse,Correct,D,Correct,E,Correct,A,Correct,A,Incorrect,C
Low,LowerYet,Low,Correct,E,Correct,E,Incorrect,A,Correct,D,Incorrect,D
Medium,Low,Medium,Correct,E,Incorrect,D,Correct,B,Correct,A,Incorrect,D
Medium,Medium,Worse,Correct,E,Incorrect,C,Correct,A,Correct,A,Incorrect,D
High,High,High,Correct,A,Correct,A,Incorrect,A,Correct,A,Correct,A
Low,LowerYet,Low,Correct,E,Incorrect,E,Incorrect,A,Incorrect,C,Incorrect,E
